,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Pos_C,Pos_C-PF,Pos_PF,Pos_PF-SF,Pos_PG,Pos_SF,Pos_SF-SG,Pos_SG,Pos_SG-PF,Pos_SG-SF
PTS,0.104866449,0.578532242,0.746683874,0.881009783,0.990095317,0.982096104,0.257057892,0.680361115,0.684664675,0.201737555,0.897864218,0.911870632,0.196838139,0.256974254,0.901270002,0.890816679,0.28250568,0.397562693,0.714339582,0.658347075,0.694677909,0.660146829,0.406560692,0.852439102,0.62338586,1,0.023888799,-0.045001041,-0.073710282,0.026075761,0.052975575,-0.006889988,0.068923479,-0.00214784,-9.68E-05,-0.01505333
Pos_C,0.074043309,0.077587299,0.061563136,-0.017524174,0.067456263,-0.048932915,0.365536494,-0.341365911,-0.364496629,-0.241940682,0.231566416,0.160125984,0.244224991,0.176053668,0.090526144,0.140563618,-0.132759599,0.605187887,0.346517309,0.449230776,-0.127945229,-0.077412933,0.518467653,0.01491744,0.256116866,0.023888799,1,-0.028517429,-0.228889537,-0.028517429,-0.231622997,-0.20105232,-0.028517429,-0.269451344,-0.020145835,-0.020145835
Pos_C-PF,0.00887603,-0.017139158,-0.044478335,-0.047398929,-0.049965456,-0.046028414,-0.036226544,-0.01733452,-0.02000531,0.010451274,-0.052754915,-0.050314092,-0.034301522,-0.02173061,-0.025984561,-0.027955324,0.016016409,-0.010845791,-0.020329856,-0.017329515,-0.042403959,-0.054845429,0.031707009,-0.036205722,-0.013474427,-0.045001041,-0.028517429,1,-0.030345192,-0.003780718,-0.030707583,-0.026654654,-0.003780718,-0.035722703,-0.002670848,-0.002670848
Pos_PF,-0.009314049,-0.027147449,-0.021677775,-0.085901244,-0.078505388,-0.091185948,0.022539606,-0.042320422,-0.047118069,0.003322875,-0.076805068,-0.095431074,0.091887814,0.022246269,-0.049305586,-0.042070805,-0.074300914,0.066063352,0.097242765,0.093081609,-0.191431396,-0.142121395,0.02935318,-0.089163471,0.019987867,-0.073710282,-0.228889537,-0.030345192,1,-0.030345192,-0.246468374,-0.213938336,-0.030345192,-0.286721248,-0.021437039,-0.021437039
Pos_PF-SF,0.038277879,0.034889631,0.069977585,0.058394736,0.019737881,0.031073544,-0.014228989,0.066812232,0.054972993,0.035168199,-0.003897176,0.008160999,-0.025074775,0.006054651,0.016131088,0.009601892,0.016451365,-0.003035643,0.026757227,0.020332381,-0.012896725,-0.010102365,-0.0138754,0.002638474,0.020640762,0.026075761,-0.028517429,-0.003780718,-0.030345192,1,-0.030707583,-0.026654654,-0.003780718,-0.035722703,-0.002670848,-0.002670848
Pos_PG,0.015773889,0.024251759,0.010121672,0.05132273,0.04175459,0.085339678,-0.111390552,0.077272717,0.080405614,0.107314343,0.017922184,0.067560729,-0.173676812,-0.092693576,0.058602905,0.034253618,0.159596947,-0.242546394,-0.164164987,-0.199446334,0.464589794,0.159114517,-0.211707381,0.209587266,-0.062403025,0.052975575,-0.231622997,-0.030707583,-0.246468374,-0.030707583,1,-0.216493244,-0.030707583,-0.290145349,-0.021693046,-0.021693046
Pos_SF,-0.037371344,-0.032312432,-0.009688186,0.047506795,-0.016697914,-0.005900381,-0.051455889,0.056286664,0.06454072,0.027307711,-0.045017334,-0.049217743,0.032891608,-0.005542536,-0.012742259,-0.015525762,0.016647254,-0.077133426,0.007940427,-0.017152686,-0.102887528,0.087766558,-0.036618077,-0.077914099,-0.047283317,-0.006889988,-0.20105232,-0.026654654,-0.213938336,-0.026654654,-0.216493244,1,-0.026654654,-0.251850622,-0.018829897,-0.018829897
Pos_SF-SG,0.067679729,0.041984466,0.095289952,0.085096652,0.055983616,0.066607489,-0.007189771,0.055337675,0.054972993,0.023294382,0.044960564,0.056585683,-0.020907856,-0.000613811,0.093343111,0.082838463,0.0427662,0.028204951,-0.002469238,0.006968482,0.042646305,0.109212473,0.001318736,0.025944991,0.020640762,0.068923479,-0.028517429,-0.003780718,-0.030345192,-0.003780718,-0.030707583,-0.026654654,1,-0.035722703,-0.002670848,-0.002670848
Pos_SG,-0.070608606,-0.051564543,-0.046701525,-0.006516852,-0.013447818,0.04627427,-0.185449828,0.201448434,0.218654929,0.055821252,-0.105995516,-0.072894478,-0.15236161,-0.082339371,-0.087824151,-0.110311763,0.012498721,-0.300278271,-0.245977728,-0.27879143,-0.051131571,-0.025001336,-0.256535437,-0.057257869,-0.14820991,-0.00214784,-0.269451344,-0.035722703,-0.286721248,-0.035722703,-0.290145349,-0.251850622,-0.035722703,1,-0.025235924,-0.025235924
Pos_SG-PF,0.115315949,0.034671489,-0.036085962,-0.001249741,-0.005752846,-0.001256467,-0.011295012,0.060708816,0.051297967,0.029292968,-0.033697569,-0.033607432,-0.014139062,0.021550221,-0.015050695,-0.021075299,0.02698397,-0.040766199,-0.013214747,-0.022541249,-0.017693988,-0.022940799,-0.020535829,-0.014600694,-0.012196656,-9.68E-05,-0.020145835,-0.002670848,-0.021437039,-0.002670848,-0.021693046,-0.018829897,-0.002670848,-0.025235924,1,-0.001886792
Pos_SG-SF,0.0322336,0.011281867,-0.02209165,-0.001727292,-0.015601065,-0.00694006,-0.026213219,-0.02035183,-0.013093934,-0.014527632,-0.009894142,-0.001334749,-0.030959727,-0.033016804,-0.00182754,-0.002503005,0.002403665,-0.018696653,-0.022391053,-0.022541249,0.00928194,-0.01240473,-0.009802111,0.007352122,-0.006841041,-0.01505333,-0.020145835,-0.002670848,-0.021437039,-0.002670848,-0.021693046,-0.018829897,-0.002670848,-0.025235924,-0.001886792,1
